,word,rfreq
0,about,0.017722551977713816
1,other,0.014136060425799816
2,which,0.011709447956790117
3,their,0.011309778084989475
4,there,0.010129763536804368
5,first,0.00835266483786765
6,would,0.008272955351611155
7,these,0.00781585180181689
8,click,0.007754343118936917
9,price,0.007247324916391745
10,state,0.006545968000506749
11,email,0.00641371368058631
12,world,0.006240127966956581
13,music,0.005981449562917637
14,after,0.005387958553832002
15,video,0.0052790564114025135
16,where,0.00520766428826598
17,books,0.005023347994740789
18,links,0.004910898175163954
19,years,0.004880772954598745
20,order,0.004863290395266828
21,items,0.00477479043751535
22,group,0.004649646121086266
23,under,0.004526174442419598
24,games,0.004419765148296183
25,could,0.0043674749563880145
26,great,0.004355570663786063
27,hotel,0.004304823766190891
28,store,0.004208522201059906
29,terms,0.004012000482925648
30,right,0.003952976760322777
31,local,0.0039114068043013825
32,those,0.0039008779614692177
33,using,0.0038927116699956983
34,phone,0.0037077176271973445
35,forum,0.0036764308871425912
36,based,0.003646482713821059
37,black,0.0035350238676128704
38,check,0.003532147987599609
39,index,0.0035080960870405038
40,being,0.003507472629366014
41,women,0.003503678342961257
42,today,0.003456736610316292
43,south,0.0034467671963227153
44,pages,0.00338059993888189
45,found,0.0033517751162357215
46,house,0.0033417276454279802
47,photo,0.0032812647331582107
48,power,0.003273624021344011
49,while,0.0032678253521049036
50,three,0.0032276975762668856
51,total,0.003216603265775418
52,place,0.00319234361822618
53,think,0.003147360399382626
54,north,0.0031466808586889643
55,posts,0.0031324161673223546
56,media,0.003126787379644928
57,water,0.003108670599668588
58,since,0.003096021408418638
59,guide,0.0030826707171269733
60,board,0.0030679673733360665
61,white,0.00303188859789328
62,small,0.00301033591674057
63,times,0.002932019086558818
64,sites,0.00292919982410149
65,level,0.0029264246825974217
66,hours,0.0028640032420793023
67,image,0.002858677796790736
68,title,0.002841366520373632
69,shall,0.002773290374368608
70,class,0.0027606334684529606
71,still,0.002751181067083575
72,money,0.0027478811693957385
73,every,0.002735179680224768
74,visit,0.0027024779635737325
75,tools,0.002680714487126654
76,reply,0.0026694764729278957
77,value,0.0026302278222528493
78,press,0.002595432122848632
79,learn,0.002592189593957584
80,print,0.0025751795651231114
81,stock,0.002546931709900094
82,point,0.002535840361031226
83,sales,0.0025028487665389523
84,large,0.002396223750714795
85,table,0.002388677955293166
86,start,0.002339153210992656
87,model,0.002328929574204548
88,human,0.002319799224010686
89,movie,0.0022887000485715715
90,march,0.002286679918573157
91,yahoo,0.0022498744909669713
92,going,0.0022433797248415255
93,study,0.0022100690263493882
94,staff,0.0021894796237822874
95,again,0.0021783299959594418
96,april,0.0021667052805308586
97,never,0.002160637435914829
98,users,0.0021572203879945185
99,topic,0.0021526185754589936
100,below,0.0021049426204543275
101,party,0.0020905804989276725
102,login,0.0020832507574863927
103,legal,0.002052170001895152
104,above,0.0020499429917229754
105,quote,0.002011624016052241
106,story,0.0019999448645555903
107,rates,0.0019805242627355464
108,young,0.001969720061236349
109,field,0.0019545140217383044
110,paper,0.0019494617247350255
111,girls,0.0019116969914515958
112,night,0.0018857804533040062
113,texas,0.0018694230071740726
